Macs_Monos_DCs	1.889396427563755	0.10144933310825362
oligodendrocytes	1.8000093831847366	0.11703143810368015
endothelial	0.6535791908039655	0.5390714274217627
NK_2	0.3835165326847529	0.7383455902816385
astrocytes	2.886146678139881	0.024600866474425415
NK	0.8624394955783161	0.4171642932279045
Micro	0.6804813140717436	0.5216728740918759
excitatory_neurons	1.0414103289226626	0.34396228807226004
pericytes	0.2801287511948455	0.807499764885075
Neuron	2.174242204129364	0.0672052200498319
OPC	2.1876043845793225	0.06537609197775848
