ROC-AUC	Pval	Tval	x	y
0.89	0.003978809411080136	-3.3114599522122288	0	0
0.96	0.0005610553928037214	-4.565617002046135	0	1
0.85	0.0029883316217727413	-3.453920234568034	0	2
0.965625	4.801667375083049e-08	-6.976366156782425	0	3
0.5900000000000001	0.41658309740618993	-0.8340769585192463	1	0
0.8400000000000001	0.017625558193552812	-2.665401127626349	1	1
0.9000000000000001	0.001104293730114316	-3.940864956954948	1	2
0.8125	0.0004320362382982437	-3.8991871148183432	1	3
