ID	Name	T	P	Diff	ROC-AUC
25959	KANK2	-10.05564302399302	4.850987975178541e-18	-0.7152961197542059	0.8214611872146118
6494	SIPA1	-7.9434157716922575	1.6957835661853151e-12	-0.6211695282291686	0.78382257012394
4854	NOTCH3	-7.797915177559298	1.0825176180871746e-12	-0.6448552616344291	0.771624266144814
9261	MAPKAPK2	-7.656022611435287	3.5368360031272466e-12	-0.4842930539330035	0.7694063926940639
5159	PDGFRB	-7.204206804359275	6.380676519162501e-11	-0.5876244166868319	0.7645140247879973
2995	GYPC	-7.0645254023337865	5.623194640053411e-11	-0.4474845523233542	0.7367906066536204
4792	NFKBIA	-6.8020192064847995	3.1942709739141383e-10	-0.4796844006017556	0.7432485322896283
3913	LAMB2	-6.696566523169802	9.426729138920882e-10	-0.502450834581212	0.7490541422048271
30846	EHD2	-6.54372564992875	1.8997509958703588e-09	-0.5008456779123339	0.7467058056099152
64333	ARHGAP9	-6.513661235601231	5.99352068376096e-10	-0.2935452355823071	0.6991519895629483
10763	NES	-6.329193764570762	4.281561957963594e-09	-0.4476152166184145	0.7317025440313111
79792	GSDMD	-6.289401850229269	5.57153258011323e-09	-0.4536643307899296	0.7291585127201565
3693	ITGB5	-6.289077260780335	8.190871336804438e-09	-0.4978754178450618	0.7406392694063926
28231	SLCO4A1	-6.196232010606459	5.992774311423207e-09	-0.6526783986071758	0.7115459882583169
11170	FAM107A	-5.947108433388864	3.3741050595141635e-08	-0.4729911509208513	0.7321591650358774
64943	NT5DC2	-5.915869975117822	2.998176886909856e-08	-0.4052022754757483	0.7114155251141552
2268	FGR	-5.870288883942161	2.852498347555843e-08	-0.36884246197830894	0.7140900195694717
3911	LAMA5	-5.757690327263823	5.798454616571865e-08	-0.3735701859444928	0.7146118721461187
2828	GPR4	-5.703433201322945	5.8288544207646144e-08	-0.4182974178514116	0.7007175472928897
633	BGN	-5.567969402808527	1.9120941063617765e-07	-0.5142845743011542	0.7192433137638617
10263	CDK2AP2	-5.478324511078559	2.670634577025493e-07	-0.42922508328119147	0.7094585779517286
63874	ABHD4	-5.435419146215649	3.4797082654705145e-07	-0.4365075385060595	0.7096542726679713
4055	LTBR	-5.32317186357745	5.0428987737451e-07	-0.3986983044788771	0.7069145466405741
2217	FCGRT	-5.24984435668852	8.309167605497755e-07	-0.4413364346673672	0.7080887149380299
977	CD151	-5.207365933195613	7.833661332892637e-07	-0.3389305963634124	0.6954337899543378
2615	LRRC32	-4.9505977038015985	2.5255388821887838e-06	-0.4813869169865343	0.6846705805609915
4242	MFNG	-4.881628575365308	3.216555501564448e-06	-0.33776460967185096	0.6962818003913894
2242	FES	-4.876189338566424	3.158762089400866e-06	-0.3457572266475831	0.6970645792563601
5872	RAB13	-4.85265684220542	4.1165581209028814e-06	-0.4279675277478861	0.6909980430528376
53834	FGFRL1	-4.7187542260726865	7.062148995905596e-06	-0.411402078090278	0.6883887801696021
57381	RHOJ	-4.6208115710401945	1.0250593864002772e-05	-0.308215212753424	0.6896934116112199
23580	CDC42EP4	-4.595418007786229	1.2086805302320954e-05	-0.3522011040175799	0.6756686236138291
115330	GPR146	-4.588964693778372	1.1172319139443927e-05	-0.3909673935024516	0.675212002609263
5175	PECAM1	-4.119096232352003	7.107910143715169e-05	-0.43684976022038624	0.6595564253098499
7132	TNFRSF1A	-4.0445752590075426	9.817052590032194e-05	-0.3788357948301886	0.6552511415525114
79651	RHBDF2	-3.9992993650167503	0.00011287901608302018	-0.36729145850534173	0.6611219830397912
7462	LAT2	-3.963063695183016	0.00013328315013136962	-0.4326625265578562	0.6583170254403131
6510	SLC1A5	-3.883760652048704	0.00015622660834947055	-0.27000217067803384	0.640508806262231
54209	TREM2	-3.874632857981001	0.00018969252826974716	-0.471229744891035	0.6547945205479452
8407	TAGLN2	-3.821011478968329	0.00022397527820512442	-0.3744909128780418	0.6583822570123941
2022	ENG	-3.747280657602593	0.00028360717490372937	-0.376575668953056	0.6341813437703848
7052	TGM2	-3.5091582705395816	0.0006666863679981835	-0.5220588542710582	0.6371819960861056
9056	SLC7A7	-3.495637078468082	0.000654383196890876	-0.1989693991047668	0.6515329419439007
837	CASP4	-3.4762698841715336	0.0006993368421233903	-0.26938524323139035	0.6361382909328115
1192	CLIC1	-3.3977151526744365	0.0009553239773580445	-0.3513065175862482	0.6369210697977821
1535	CYBA	-3.3646698092700165	0.0010519051616257019	-0.3430944871417104	0.6314416177429876
3566	IL4R	-3.311900131508377	0.0012368144139991036	-0.3425897336376635	0.6240052185257665
9249	DHRS3	-2.713665544471969	0.007678464279457175	-0.20634827490286375	0.6005870841487281
10627	MYL12A	-2.700580029937296	0.007978265276060414	-0.2151623195025465	0.6035225048923679
3059	HCLS1	-2.652430891891413	0.009293265568318823	-0.3436883553337737	0.6060013046314416
7432	VIP	5.175926062112928	1.0657965313256643e-06	0.3902490348448577	0.2754076973255055
27132	CPNE7	5.318723067422698	5.256877956896215e-07	0.4112321006178584	0.29726027397260274
125113	KRT222	5.549817022883588	2.2578385108757812e-07	0.4747284672474627	0.2712981082844097
79012	CAMKV	5.5783247783499075	1.2158244649317558e-07	0.6635471322060158	0.2908675799086758
26289	AK5	5.629381941752219	1.2833708595202838e-07	0.6109911596843758	0.2723418134377038
27242	TNFRSF21	5.718826679713884	7.703799717001987e-08	0.40311917417489984	0.2844748858447489
64130	LIN7B	5.756974502095299	6.947864435659571e-08	0.4453517221387071	0.2859752120026093
23518	R3HDM1	5.879893097315488	3.2860819627228166e-08	0.6573578667641535	0.2896934116112197
57030	SLC17A7	5.881605242334473	2.6584553145585458e-08	0.7042509601868714	0.2833007175472929
5300	PIN1	5.894381446245619	3.7399840603568334e-08	0.3982751324160621	0.2857142857142857
25791	NGEF	5.912398807329938	2.8968006377780586e-08	0.7460427233411764	0.2731898238747554
3208	HPCA	5.949176432622349	1.6569042295088357e-08	0.6008674866385952	0.2937377690802348
9201	DCLK1	6.007715282040562	2.6175269958255197e-08	0.7792934723816612	0.2731898238747554
7480	WNT10B	6.087830330240504	1.2315682872232995e-08	0.4508609789047016	0.2852576647097195
9143	SYNGR3	6.140450579935878	6.194473616467673e-09	0.6691978676001913	0.284409654272668
23335	WDR7	6.148323632943944	1.0420585591608613e-08	0.4821670822035593	0.2806262230919765
57062	DDX24	6.182448048190722	1.0631377743638036e-08	0.4628874168352786	0.2634050880626223
1745	DLX1	6.189054042515348	1.5258621216288354e-08	0.4149040889863874	0.24227005870841484
2170	FABP3	6.2873249780418705	4.871170522636172e-09	0.7085369449572059	0.2688845401174168
3423	IDS	6.346306790889021	2.4802250484331647e-09	0.5152486709161579	0.2900195694716242
29993	PACSIN1	6.361868477296532	1.6206634878106038e-09	0.6416998318638205	0.2939986953685584
118812	MORN4	6.3825325276649485	2.274869838713115e-09	0.3873020783392387	0.28701891715590344
782	CACNB1	6.384999179763407	2.1365520052382617e-09	0.5335994854609363	0.2823874755381605
11332	ACOT7	6.42303478355138	2.4308817864026843e-09	0.7236937693296919	0.2614481409001957
2281	FKBP1B	6.473340353448705	2.1164383765237367e-09	0.4946786890400791	0.2709067188519243
3925	STMN1	6.491781362086956	2.048118732983564e-09	0.5415120068906961	0.21930854533594255
144423	GLT1D1	6.508888319625719	3.052894873086857e-09	0.513394799539204	0.2516634050880626
5950	RBP4	6.5288908619164125	9.500183110239749e-10	0.634422318674265	0.2816699282452707
7345	UCHL1	6.537531244632526	1.327786829178799e-09	0.7680143725526741	0.25446836268754075
55827	DCAF6	6.544040693263558	1.288226852169432e-09	0.5767703567767037	0.2677103718199608
6812	STXBP1	6.566817004218053	1.0369112791480863e-09	0.7961783232671271	0.2673189823874755
57415	C3orf14	6.569352902624968	1.1820743733747315e-09	0.4592779226071752	0.2628180039138943
6804	STX1A	6.589255523838058	6.826190132583148e-10	0.6791080724036007	0.2639921722113503
64744	SMAP2	6.6021234738079775	1.2950484155567305e-09	0.4207608506770595	0.2460534898891063
6252	RTN1	6.6072735891078604	9.401646815358946e-10	0.93176344263002	0.26112198303979123
55611	OTUB1	6.6192629205047	1.0984660822348182e-09	0.4098350375647417	0.2585779517286367
2257	FGF12	6.62964446409595	1.2637411780239938e-09	0.6666157175224257	0.2465753424657534
9382	COG1	6.646195609820689	6.764996446556669e-10	0.4592207391138303	0.2662752772341813
6000	RGS7	6.653038499622297	1.3822258259261513e-09	0.6207425719557454	0.2446836268754077
93426	SYCE1	6.657681652449738	1.0617865618173573e-09	0.6725723086848225	0.2575342465753425
25789	TMEM59L	6.667559997457211	5.44118215749307e-10	0.6061330185079559	0.2644487932159165
2823	GPM6A	6.695717130578071	3.3588321810336606e-10	0.6598805866904369	0.27325505544683626
5582	PRKCG	6.759529355687638	3.220874602350838e-10	0.9048932365722488	0.2660795825179387
8618	CADPS	6.7601124789530145	4.904663653695841e-10	0.8608095076295568	0.2626223091976517
2821	GPI	6.880524060807844	1.6030468224128337e-10	0.4758854736146279	0.2674494455316373
6622	SNCA	6.888060753910593	3.182063321523204e-10	0.7812015657776388	0.2378343118069145
53826	FXYD6	6.920081483038652	2.2513329042267172e-10	0.5759084948084379	0.2496412263535551
131408	FAM131A	6.991009833478693	1.9395373214837854e-10	0.5280567983631514	0.24377038486627525
9804	TOMM20	6.9998671266618215	1.800983621865409e-10	0.6886585231247677	0.2399869536855838
10368	CACNG3	7.034731208565588	5.2363727086962286e-11	0.8545216708346004	0.2483365949119373
808	CALM3	7.0579660016889	9.300712070375448e-11	0.6996378825619365	0.2532941943900848
10769	PLK2	7.059733916580655	1.005637422718958e-10	0.8786607788684517	0.2441617742987606
29114	TAGLN3	7.148683994371688	3.5096089971464613e-11	0.8042627939065863	0.24285714285714285
2785	GNG3	7.153196529033742	5.2929370567037535e-11	0.7900560744483142	0.2505544683626875
6857	SYT1	7.17139980744468	3.8279935847133214e-11	1.2645625797214275	0.23476842791911284
6855	SYP	7.184229033239678	4.4950365545024434e-11	1.0249309080524185	0.239856490541422
4905	NSF	7.2069069810796424	4.0451361590771854e-11	1.0139715991704783	0.2494455316373124
8997	KALRN	7.313235721262182	2.484971013199869e-11	0.6116329683700463	0.2510763209393347
5058	PAK1	7.32653665777848	2.640653827723557e-11	0.9996930440334836	0.24024787997390734
6775	STAT4	7.3438093424480595	6.123921333152275e-11	0.6973707960055829	0.21865622961513376
260293	CYP4X1	7.384329272435298	3.4053796729476057e-11	0.5260981616136491	0.2346379647749511
285533	RNF175	7.395052123279578	2.4210860609825764e-11	0.5894032467729791	0.2350945857795173
140767	NRSN1	7.447034109141449	5.686033829973804e-12	0.8602044803985707	0.2607958251793868
9899	SV2B	7.478342530982553	1.0268706252680942e-11	0.9760131542940896	0.2359425962165688
63908	NAPB	7.559130311022604	6.947460550916316e-12	1.030457801290967	0.22446183953033266
81929	SEH1L	7.578586409657826	7.706973830606915e-12	0.5372764297359612	0.2400521852576647
5521	PPP2R2B	7.612052880758876	6.073913020093975e-12	0.4452152424636789	0.22759295499021526
10962	MLLT11	7.6203909872490945	3.523706967748052e-12	0.984122030778246	0.2354207436399217
55061	SUSD4	7.628310472704973	4.9866373481707995e-12	0.6693183093958184	0.23268101761252444
114928	GPRASP2	7.648950711195531	4.7240280940763065e-12	0.8792524836176328	0.2371167645140248
10381	TUBB3	7.666007685292135	1.8521207798907858e-12	0.8552561595581727	0.2463796477495108
10126	DNAL4	7.6850606749386845	2.578779952202448e-12	0.4906453336991126	0.2401174168297456
10479	SLC9A6	7.688191977017592	1.9899059600419416e-12	0.7327212716435667	0.24631441617742986
7416	VDAC1	7.711791248676258	2.281000405376208e-12	0.5988625349010808	0.2359425962165688
29089	UBE2T	7.743264437810919	1.947268638260342e-12	0.6078342915262168	0.2425309849967384
51606	ATP6V1H	7.76694114038226	1.3601755963154688e-12	0.7393899504202426	0.24116112198303974
10313	RTN3	7.768760033301095	2.346112332855817e-12	0.6281201860192693	0.2277886497064579
529	ATP6V1E1	7.965220976347736	1.6317094264828592e-12	0.6227920150343227	0.21422048271363334
2596	GAP43	8.03368254678738	2.0451675456336037e-13	0.9775988045456736	0.2357469015003261
55859	BEX1	8.062567650008255	3.790875434492828e-13	0.9255088463297404	0.2110241356816699
8799	PEX11B	8.072627113659049	3.7186768341513373e-13	0.5204590717913444	0.21885192433137635
9500	MAGED1	8.098113140916553	2.455496095919869e-13	0.5603089266698507	0.22361382909328115
80213	TM2D3	8.100971393611866	4.333309214521552e-13	0.5556855805754393	0.20887149380300066
83988	NCALD	8.13608798506834	3.567878430413065e-13	0.9656800392916174	0.21754729288975866
55530	SVOP	8.153886472713962	5.119019394316125e-13	1.001065928663171	0.21793868232224392
3251	HPRT1	8.311930148221307	7.741417195554476e-14	1.1517271146956298	0.22400521852576646
1123	CHN1	8.315299245747353	2.956527366043336e-14	0.9542472780278396	0.2348988910632746
1428	CRYM	8.370559457482022	4.810632229181102e-14	1.4550768641383092	0.2095890410958904
78991	PCYOX1L	8.444604504604449	2.5940378708833537e-13	0.5076044948883788	0.19510763209393348
51102	MECR	8.447803110955704	7.754702073331267e-14	0.4673127455115892	0.20580560991519892
3382	ICA1	8.512976351852144	4.8973772730208435e-14	0.7405021026599443	0.21115459882583168
7102	TSPAN7	8.672678771560129	1.200624691312115e-15	0.6991450644499606	0.23313763861709064
5999	RGS4	8.751715135433773	7.78915598190944e-15	1.4749488375816275	0.20528375733855184
7334	UBE2N	8.814799392338287	6.940115931040928e-15	0.6383243127093616	0.2077625570776256
266812	NAP1L5	8.845561257275314	6.148628160964925e-15	1.1678505675403188	0.201174168297456
377	ARF3	8.856518775703293	2.7892726246929122e-15	0.5195349152902549	0.21395955642530984
8624	PSMG1	9.001521452416592	8.048645291041387e-15	0.5806905103487844	0.18806262230919765
56341	PRMT8	9.145080628073408	7.37644299841713e-15	0.8073190639286842	0.18186562296151332
7280	TUBB2A	9.635539384119713	6.710508443681112e-18	1.0371258007367825	0.20404435746901495
2941	GSTA4	9.829619372755932	9.309708401528763e-18	0.6354714191236108	0.17736464448793213
51299	NRN1	9.940195367806735	6.367488267049613e-18	1.0682790575928167	0.18349641226353555
25875	LETMD1	10.164590602148726	1.6536684335765252e-18	0.5158786163207366	0.1715590345727332
